Event Name,Description,Start,End,Location,City,Relevance,Event URL,ERROR
Multiple Sclerosis Roadshow Mercer Island,Free Multiple Sclerosis workshop lunch with educational presentations by physicians and providers at the Swedish MS Center.,"June 10, 2023, 11:00","June 10, 2023, 15:00","8236 Southeast 24th Street Mercer Island, WA 98040",Mercer Island,FALSE.,https://www.eventbrite.com/e/multiple-sclerosis-roadshow-mercer-island-tickets-602792126477,
"""sustainabilityCAMPS: #4 Nachhaltigkeitsorientierte Unternehmenskultur""","This event discusses effective ways to establish sustainability strategies for businesses amidst the ongoing digital and sustainability transformations. The workshop provides theoretical and practical insights to strategize sustainable development that caters to companies of all levels. It is a half-day program that starts on August 29, 2023, from 09:00 to 13:00","August 29, 2023, 13:00","digitalHUB Aachen e.V. in der digitalCHURCH, Jülicher Straße 72a 52070 Aachen Germany",Aachen,TRUE.,https://www.eventbrite.de/e/sustainabilitycamps-4-nachhaltigkeitsorientierte-unternehmenskultur-tickets-528281071907,,X
Sustainability Festival,A festival of sustainability in Ryde,"June 17, 2023, 10:30","June 17, 2023, 4:00","Hunter's Hill Town Hall, NSW",Ryde,TRUE,https://www.eventbrite.com.au/e/sustainability-festival-tickets-616879371807,
sustainabilityCAMPS: #3 (ESG) Reporting," In this half-day workshop, attendees will learn how to report on their environmental, social, and governance (ESG) activities by complying with new laws and regulations such as the EU Taxonomy, CSR Directive, and Supply Chains Due Diligence Act"," June 6, 2023, 09:00"," June 6, 2023, 13:00", digitalHUB Aachen e.V., Jülicher Straße 72a 52070 Aachen Germany, Aachen, TRUE,X
Socially Inept: Tech Roast Show," 
Renegade tech comedians roast whimpering techies on stage in front of a live crowd. Can you feel it? AI’s cold shallow breath on the back of your useless tech job. GPTeeth ripping through your soft skills. The final season of humanity sucks. Musk as the villain is boring and “helpful bot kills everyone” has been done a million times. Take a break from life’s shitty storytelling and come watch us publicly shame tech nerds for the unspeakable horrors they have so awkwardly unleashed."," 
June 16, 2023, 8:00 PM"," June 16, 2023, 9:30 PM"," 
200 University Street Seattle, WA 98101"," 
Seattle"," 
FALSE.",https://www.eventbrite.com/e/socially-inept-tech-roast-show-tickets-633681687987,
Enchanted Kingdom,Follow this organizer to stay informed on future events,"October 28, 2023, 6:00 AM","October 29, 2023, 11:59 PM",Unknown,Unknown,FALSE.,https://www.eventbrite.com/e/enchanted-kingdom-tickets-598817448107,
BLASTFEST,"BLASTFEST is the brand new Afrobeats festival hitting The Seattle Center on July 29, 2023.","July 29, 2023, 2:00","July 29, 2023, 22:00","305 Harrison Street Seattle, WA 98109",Seattle,FALSE.,https://www.eventbrite.com/e/blastfest-tickets-586320970807,
Re-Evolution Festival,"A 3-Day Music Festival with Free Camping and Parking Included in Darrington, WA. Artists performing include The String Cheese Incident, Markus Schulz, Oliver Smith, and Luttrell.","August 4, 2023, 12:00"," August 6, 2023, 23:00","42501 State Route 530 Northeast Darrington, WA 98241",Darrington,FALSE,https://www.eventbrite.com/e/re-evolution-festival-music-camping-tickets-588576767957,
Seattle Tech Career Fair: Exclusive Tech Hiring Event,Tech Career Fair focus on helping companies achieve their diversity and inclusivity initiative with more diverse non-traditional candidates,"June 23, 2023, 9:00","June 23, 2023, 12:00","Online Seattle, WA 98101",Seattle,FALSE.,https://www.eventbrite.com/e/seattle-tech-career-fair-exclusive-tech-hiring-event-tickets-146585255445,
2023 North West Coast Dealer Meeting,Please join Greenworks Commercial for an invitation-only dealer event to preview and test drive this year’s product innovations.,"June 22, 2023, 8:00AM","June 23, 2023, 6:00PM","Silver Reef Casino Resort, 4876 Haxton Way Ferndale, WA 98248",Ferndale,FALSE,https://www.eventbrite.com/e/2023-north-west-coast-dealer-meeting-tickets-641304949367,
Grow the Best Garden: 5-Part Workshop Series (In Person),"Join us for a 5 part “Grow the Best Garden” series that will lead you from planning, to soil, to planting, to harvesting success!","February 11, 2023, 9:30 AM","June 4, 2023, 12:30 PM","1216 North Park Street Victoria, BC V8T 1C9 Canada",Victoria,FALSE,https://www.eventbrite.ca/e/grow-the-best-garden-5-part-workshop-series-in-person-tickets-461356247957,
Rebirth Into Your Divine Feminine Retreat,Unlock your womb space and experience new creation in a safe community of sisterhood,"June 2, 2023, 3:00","June 4, 2023, 4:00","Live Inspired Wellness & Retreat Center, 717 East 1st Street Cle Elum, WA 98922",Cle Elum,FALSE,https://www.eventbrite.com/e/rebirth-into-your-divine-feminine-retreat-tickets-622255191027,
ReSet for MORE Excellence," ReSet for MORE Excellence, our flagship program is foundational for those who want to be leaders in their own lives. It addresses key elements of success and fulfillment in such a way that participants learn in a short period of time what it often takes years of experience to learn."," June 2, 2023, 12:30pm"," June 4, 2023, 7:30pm"," 4051 Meridian Street Bellingham, WA 98226", Bellingham, FALSE,https://www.eventbrite.com/e/reset-for-more-excellence-tickets-597858620227,
Survive Strive Thrive (SST) 2023,"The 9th Annual Survive Strive Thrive (SST) is open for registration. The purpose of Survive Strive Thrive is to provide education to healthcare professionals, students, families supporting people with a brain injury and survivors living with a brain injury on the best practices, challenges and solutions when living with a brain injury.","October 14, 2023, 08:00","October 14, 2023, 16:00","Michèle Pujol Room, 3800 Finnerty Road Victoria, BC V8P 5C2 Canada",Victoria,FALSE,https://www.eventbrite.ca/e/survive-strive-thrive-sst-2023-tickets-636627910217,
Ladies' Spring Social,"Join us for refreshments, networking & a presentation empowering women with financial education.","Jun 9, 2023, 6:00 PM","Jun 9, 2023, 8:30 PM","WFG Victoria Office 2840 Peatt Rd #519, 2840 Peatt Road #519, Victoria, BC V9B 3V5 Canada",Victoria,FALSE,https://www.eventbrite.ca/e/ladies-spring-social-tickets-639828102077,
Financial Wellness Workshop,"Join us at our next in-person workshop - where we'll help you achieve a healthier, more harmonious relationship w/ money!","June 12, 2023, 5:30 PM","June 12, 2023, 7:30 PM","Cinderbloc Studio, 602-D Esquimalt Road Victoria, BC V9A 3L4 Canada",Victoria,FALSE,https://www.eventbrite.ca/e/financial-wellness-workshop-tickets-642556893967,
Preserve the Bounty: 3-Part Food Preservation Series,"In this 3-part series, we'll explore dehydrating, fermenting and canning as ways to preserve the bounty of seasonal harvest!","September 9, 2023, 1:00 PM","October 21, 2023, 3:00 PM","1216 N Park St Victoria, BC V8T 3K5 Canada",Victoria,TRUE.,https://www.eventbrite.ca/e/preserve-the-bounty-3-part-food-preservation-series-tickets-462405044937,
A Love Ritual with Sharon Pink on lək̓ʷəŋən territory / victoria bc," 
A ritual-based workshop to connect to love as a radical and liberatory experience through divination, singing and writing."," 
June 24, 2023, 5:00 PM"," 
June 24, 2023, 7:30 PM"," 
111 Superior St, 111 Superior Street Victoria, BC V8V 1T2 Canada"," 
Victoria"," 
FALSE",https://www.eventbrite.ca/e/a-love-ritual-with-sharon-pink-on-lkwn-territory-victoria-bc-tickets-636582153357,
Phylum Fantasia,"An evening of weird species, and weirder facts. Learn about Salish Sea species from 5 phylum, participate in trivia, and interact with live sea animals!","July 7, 2023, 6:00 PM","July 7, 2023, 8:00 PM","300-722 Cormorant Street Victoria, BC V8W 1P8 Canada",Victoria,TRUE,https://www.eventbrite.ca/e/phylum-fantasia-tickets-643355191697,
Morning Insights: From Vision to Action for B Corps + B Corp Curious,"Join us for an impact-driven morning, with networking, vibrant conversations, and a panel from 3 leading impact businesses on the island.","Jun 15, 2023, 8:00 AM","Jun 15, 2023, 9:30 AM","50th Parallel Public Relations, 1600 Quadra Street #103 Victoria, BC V8W 2L4 Canada",Victoria,TRUE.,https://www.eventbrite.ca/e/morning-insights-from-vision-to-action-for-b-corps-b-corp-curious-tickets-640355198637,
Scrappy Last Saturdays,Families with school-aged children are invited to join us for free creative reuse crafts every last Saturday of the month at SUPPLY.,"June 24, 2023, 10:00 AM","June 24, 2023, 11:00 AM","750 Fairfield Road Victoria, BC V8W 2H1 Canada",Victoria,TRUE,https://www.eventbrite.ca/e/scrappy-last-saturdays-tickets-562570783357,
3-Day Wellness Retreat for Transforming Individuals From Burnout to Bliss,A personal journey that will improve your overall well-being and increase your happiness by removing limiting beliefs and negative emotions.,"September 15, 2023, 8:00","September 17, 2023, 5:00","Bow Sanctuary, 3533 Chuckanut Drive Bow, WA 98232",,,FALSE,X
Future Oceans: Tides are Changing," ""Future Oceans: Tides Are Changing"" is a sustainable event and art exhibition, focused on raising awareness about ocean conservation. Guests of this event will enjoy a one-of-a-kind exhibition and several live music performances, as well as a sustainable tasting menu"," Jul 1, 2023, 5:00 PM"," Jul 1, 2023, 11:00 PM"," 1 Cooperage Pl, 1 Cooperage Place Victoria, BC V9A 7J9 Canada", Victoria, TRUE,https://www.eventbrite.ca/e/future-oceans-international-presents-tides-are-changing-canada-day-event-tickets-631838394647,
Winter Vegetable Growing,,Learn how to grow winter vegetables in this informative workshop! You will learn the best practices for planting and taking care of your winter garden so that it thrives throughout the colder months. The workshop is led by experienced gardeners who will provide helpful tips and answer any questions you may have.,,"October 28, 2023, 10:00","November 4, 2023, 12:00",,Compost Education Centre,X
Retiring into Your Garden with Ease,"Learning to plan, design, build and maintain simpler gardens & gardening lifestyles doesn’t have to be difficult. So in this gardening program, you’ll discover great tools for debilitated or aging bodies. And you’ll thrill to easy-care plants that add Wow!. Moreover, we’ll share other tips for less-aches-more-ahhs in your garden. So whether you’re young or old, a veteran gardener or the newly aspiring green thumb who just wants easier ways to garden, this program can help ease your gardening lifestyle.","August 11, 2023, 1:00 PM","August 11, 2023, 2:30 PM","Padilla Bay National Estuarine Research Reserve, 10441 Bayview-Edison Road Mount Vernon, WA 98273-9668",Mount Vernon,FALSE.,https://www.eventbrite.com/e/retiring-into-your-garden-with-ease-tickets-642339824707,
Urban Foraging,Participate in this 'weed walk' and learn how to identify and gather some of the most common edible weeds and wild foods all around you.,"September 9, 2023, 12:30 PM","September 9, 2023, 3:00 PM","905 Rogers Street Northwest Olympia, WA 98502",Olympia,TRUE,https://www.eventbrite.com/e/urban-foraging-tickets-642755588267,
C.A.R.E. Presents: Moonlight Movie Night - A Wellness Program Fundraiser!," C.A.R.E. is fundraising for the launch of its Summer Re-Entry Program at GRuB, a holistic retreat for BIPOC young adults who suffer PTSS"," July 29, 2023, 3:00pm"," July 29, 2023, 9:00pm"," 2016 Elliott Ave NW, 2016 Elliott Avenue Northwest Olympia, WA 98502", Olympia, TRUE,https://www.eventbrite.com/e/care-presents-moonlight-movie-night-a-wellness-program-fundraiser-registration-611557784797,
Island Nature Healing Retreat,"Join Us! Wellness starts from within. Immerse yourself in relaxation and wellness while releasing stress and conquering anxiety using healing techniques and several other natural energy practices while connecting to nature. Including experiencing and learning simple and gentle procedures such as: 🌸Singing Bowls Sound Healing 🌸Guided Hypnosis 🌸5 Elements Theory 🌸Breath Work 🌸EFT Tapping 🌸Tai Chi/Qigong 🌸Movement and Walking Meditation  🌸Nature Connection 🌸Mindful Eating Experiences  🌸 Morning and evening light snacks & buffet lunch and dinner offered to accommodate vegan, vegetarian, egg-free, dairy-free, gluten free, organic, nut-allergy-friendly, sugar conscious, and low-fat diets. ","June 10, 2023, 8:00 AM","June 10, 2023, 6:30 PM","Earth Sanctuary, 2235 Newman Road Langley, WA 98260",Langley,FALSE,https://www.eventbrite.com/e/island-nature-healing-retreat-tickets-601693841477,
Urban Foraging,Participate in this 'weed walk' and learn how to identify and gather some of the most common edible weeds and wild foods all around you.,"June 17, 2023, 12:30","June 17, 2023, 15:00","921 Rogers Street Northwest Olympia, WA 98502",Olympia,TRUE,https://www.eventbrite.com/e/urban-foraging-tickets-640241508587,
Building a Community Centered Major Gifts Program," A World Cafe discussion on building a community centered major gifts program empowering shops of all sizes to achieve fundraising success while advancing equity and dismantling traditional systems of harm. This session will start on April 17, 2023, at 11:30am and will end at 2:00pm"," 4851 South Tacoma Way Tacoma, WA 98409", Tacoma, TRUE.,https://www.eventbrite.com/e/building-a-community-centered-major-gifts-program-tickets-631698245457,,,X
Untangle Your Stress,Join us for an interactive experience to learn short potent techniques to increase your energy and vitality!,"June 16, 2023, 10:00","June 16, 2023, 11:00","225 Terry Avenue North Seattle, WA 98109",Seattle,FALSE.,https://www.eventbrite.com/e/untangle-your-stress-tickets-640782346247,
"Sorry, there is no relevant content in the provided event webpage and it appears to be a generic Eventbrite page. Please provide a valid URL for me to extract the requested information.",https://www.eventbrite.com/e/open-house-truth-bit-pull-tickets-620172922907,,,,,,,X
Revival 2023,"Join us for 3 days of camping, connection, and the healing power of nature.","September 8, 2023, 12:00"," September 10, 2023, 16:00",Sultan,Sultan,FALSE,https://www.eventbrite.com/e/revival-2023-the-roots-of-medicine-tickets-618825713367,
DV8 Kettlebell Practice and Teaching Course,"DV8 Fitness is offering a 2-day 10-hour kettlebell practice and teaching certification course. This course promises to provide education that emphasizes continuing education and community excellence. Upon completing the course, students should be able to train others using their mixed modality approach from kettlebells to bodyweight, Indian clubs to barbell with consistent and replicable results","January 26, 2023, 8:00 – January 28, 2023, 18:00","Belltown Strength & Conditioning, 2315 Western Avenue Seattle, WA 98121",Seattle,FALSE,https://www.eventbrite.com/e/the-dv8-kettlebell-practice-and-teaching-course-with-option-to-certify-tickets-608764078747,,X
ELEVATION ROOFTOP PARTY! YOUNG PROFESSIONAL NETWORK & CHILL SOCIAL MIXER," Want to level up your network and make some serious connections? Then come join us on Saturday, June 10th for “ELEVATION” (formerly known as Sunset Sundays), an exclusive monthly rooftop networking mixer series for Seattle young professionals. This ain't your average networking event with stiffs in suits. We're all about providing an organic & chill environment where you can effortlessly build relationships with Seattle’s dopest creatives, innovators and go-getters around. Elevation is at the stunning Fog Room, located on the 16th floor of the Charter Hotel. They stock a full bar and serve cocktails, wine, beer, spirits, and non-alcoholic beverages. Not only will there be free appetizers, but the views from the rooftop are sick."," June 10, 2023, 6:00 PM"," June 10, 2023, 8:00 PM"," 1610 2nd Avenue Seattle, WA 98101", Seattle, FALSE.,https://www.eventbrite.com/e/elevation-rooftop-party-young-professional-network-chill-social-mixer-tickets-644436887077,
Art + Nature: Nourishing Wellness Retreat,"A restorative pre-holiday retreat, provided by Dream Big Wellness, a Washington State 501c3 Nonprofit","November 17, 2023, 10:00","November 19, 2023, 13:00","6436 Maxwelton Road Clinton, WA 98236",Clinton,FALSE.,https://www.eventbrite.com/e/art-nature-nourishing-wellness-retreat-tickets-605143810427,
Restore & Renew Retreat,,,"July 28, 2023, 4:00","July 30, 2023, 12:00",Sedro-Woolley WA,,,X
Succeeding with Women in Cybersecurity,Join Women in Cybersecurity Western Washington Affiliate at an event on Microsoft’s campus with breakfast,"June 9, 2023, 9:30 AM","June 9, 2023, 11:00 AM","16071 Northeast 36th Way Redmond, WA 98052",Redmond,FALSE,https://www.eventbrite.com/e/succeeding-with-women-in-cybersecurity-tickets-647408475177,
How to Reset to Your Superwoman's 'SELF'!,"A workshop designed for all Superwomen - women managing their demanding career and family life while sacrificing their own needs. It is a 2-day workshop that starts on July 15, 2023, at 12:00 PM PDT, and ends on July 16, 2023, at 2:30 PM PDT",Seattle,Seattle,FALSE,https://www.eventbrite.com/e/how-to-reset-to-your-superwomans-self-seattle-tickets-515484797907,,,X
Blockchain Backyard - Rooftop Networking and Barbecue,"Join us for a rooftop barbecue and conversations about Web3, Blockchain, Crypto, NFTs, and Bitcoin.","June 13, 2023, 4:00 PM","June 13, 2023, 8:00 PM","2505 3rd Ave Suite 324 Seattle, WA 98121",Seattle,FALSE,https://www.eventbrite.com/e/blockchain-backyard-rooftop-networking-and-barbecue-tickets-645632844217,
Cybersecurity Forum with the Department of Homeland Security,"A presentation on IT/OT convergence, which is required for organizations to stay competitive in the interconnected world.","June 28, 2023, 11:00","June 28, 2023, 17:00","1820 130th Avenue NE Suite 2 Bellevue, WA 98005",Bellevue,FALSE,https://www.eventbrite.com/e/cybersecurity-forum-with-the-department-of-homeland-security-tickets-635500227287,
ACTV Club IRL: Sculpt and Flow at Vuori Seattle,Join Vuori out on the University Village green for a 60-minute vinyasa power flow session led by Hannah at 9AM.,"June 25, 2023, 9:00","June 25, 2023, 10:00","Vuori University Village, 4601 26th Ave NE Seattle, WA 98105",Seattle,FALSE,https://www.eventbrite.com/e/actv-club-irl-sculpt-and-flow-at-vuori-seattle-tickets-641614926517,
Still Positive,"One woman's journey of advocacy, faith, and positivity.","June 15, 2023, 7:00 PM","June 15, 2023, 8:30 PM","5041 Wilson Ave S Seattle, WA 98118",Seattle,FALSE,https://www.eventbrite.com/e/julie-lewis-presents-still-positive-tickets-630508456767,
Soul Family Sundays at Wild Nature Retreat (monthly pkg), A healing circle dedicated to connecting to our Soul Self & each other. Followed by a potluck for collective nourishment.," June 4, 2023, 5:00 PM"," June 4, 2023, 8:00 PM"," 24322 Monroe Camp Road Snohomish, WA 98290"," Lake Roesiger, WA", FALSE,https://www.eventbrite.com/e/soul-family-sundays-at-wild-nature-retreat-monthly-pkg-tickets-637544451617,
'We Heal Together',Michelle Cassandra Johnson hosts a session on personal healing and social change,"June 10, 2023, 9:00 AM","June 10, 2023, 11:00 AM","Third Place Books, Seattle, WA","Seattle, WA",TRUE,https://www.eventbrite.com/e/michelle-cassandra-johnson-presents-we-heal-together-tickets-621115873297,
GLOBAL HEALTH SYSTEMS & POLICY IMPLEMENTATION SYMPOSIUM SERIES- Session 2, Discuss ways the new UW LAPIS Initiative can achieve impact in the real world in Health Systems and Policy Implementation.," June 16, 2023, 12:30"," June 16, 2023, 7:00"," UW South Campus Center, 1601 Northeast Columbia Road Seattle, WA 98195", Seattle, FALSE,https://www.eventbrite.com/e/global-health-systems-policy-implementation-symposium-series-session-2-tickets-643261100267,
Develop a Successful Big Data & Analytics Tech Startup Today!," This is a 4-hour workshop aimed at entrepreneurs who want to learn how to start their own big data and analytics tech startup business. The event consists of 20 different sessions, and the basic edition runs from June 7th to September 27th. Virtual workshops take place every Wednesday from 1 PM to 5 PM PDT. The workshop is organized by Atechup.com"," June 7, 2023, 1:00 PM"," June 7, 2023, 5:00 PM"," Virtual Workshop Seattle, WA", Seattle, TRUE.,https://www.eventbrite.com/e/develop-a-successful-big-data-analytics-tech-startup-today-entrepreneur-tickets-501176310837,
Reclaiming Wellness: Behavioral Health Conference & Resource Fair," 
A behavioral health conference and resource fair led by BIPOC & dedicated toward improving mental health outcomes for communities of color."," 
July 21, 2023, 8:00 AM"," 
July 21, 2023, 5:00 PM"," 
Green River College, 12401 Southeast 320th Street Auburn, WA 98092"," 
Auburn"," 
FALSE",https://www.eventbrite.com/e/reclaiming-wellness-behavioral-health-conference-resource-fair-tickets-498440538067,
