Event Name,Description,Start,End,Location,City,Relevance,Event URL,ERROR
Growing Perennial Vegetables," Learn about the wide variety of nutrient dense, long lived, and resilient perennial vegetables you can grow in the Pacific Northwest."," October 28, 2023, 10:00 AM"," October 28, 2023, 12:00 PM"," 1216 N Park St Victoria, BC V8T 3K5 Canada", Victoria, TRUE.,https://www.eventbrite.ca/e/growing-perennial-vegetables-tickets-465418036877,
Winter Vegetable Growing,"This event will cover the basics of growing winter vegetables and how to extend the growing season using row covers, cloths, and cold frames.  Attendees will learn which vegetables thrive in cooler temperatures and how to plant and care for winter crops. Some of the winter crops that will be discussed include garlic, spinach, kale, chard, and carrots.","November 4, 2023, 10:00","November 4, 2023, 12:00",Compost Education Centre,Victoria,TRUE,https://www.eventbrite.ca/e/winter-vegetable-growing-tickets-465379110447,
Coastal Marine Strategy Open House: Victoria,"Join us for evening on June 19th in Victoria to learn about B.C.’s Coastal Marine Strategy. The Coastal Marine Strategy is a vital tool being developed, to build resilience in the face of increasing pressures on marine ecosystems, community well-being, and economic stability. The strategy will lay the groundwork for investments that will improve the health and stewardship of coastal ecosystems, improve livelihoods and jobs, support a thriving and climate-resilient coastal economy, and secure the long-term health of B.C.’s coastal marine environment","June 19, 2023, 6:00 PM","June 19, 2023, 9:00 PM","KWENCH, 2031 Store Street, Victoria, BC V8T 5L9 Canada",Victoria,TRUE,https://www.eventbrite.com/e/coastal-marine-strategy-open-house-victoria-tickets-645496075137,
CZC2023 Workshop: Building Solutions this Ocean Decade w/ Early Career Pros,Join ECOP Canada &amp, Ocean Startup Project at Coastal Zone Canada to explore ocean tech &amp, social solutions &amp, your role as an early career pro,"June 13, 2023, 3:00 PM","June 13, 2023, 4:30 PM","720 Douglas Street Victoria, BC V8W 3M7 Canada",X
Morning Insights: From Vision to Action for B Corps + B Corp Curious,"Join us for an impact-driven morning, with networking, vibrant conversations, and a panel from 3 leading impact businesses on the island."," June 15, 2023, 8:00 AM"," June 15, 2023, 9:30 AM","1600 Quadra Street #103 Victoria, BC V8W 2L4 Canada",Victoria, TRUE,https://www.eventbrite.ca/e/morning-insights-from-vision-to-action-for-b-corps-b-corp-curious-tickets-640355198637,
Book Launch: Radio Jet Lag by Gregor Craigie,"Join us to celebrate the launch of Gregor Craigie's new novel, Radio Jet Lag!","June 20, 2023, 7:00 PM","June 20, 2023, 9:00 PM","1108 Government Street Victoria, BC V8W 1Y2 Canada",Victoria,FALSE,https://www.eventbrite.ca/e/book-launch-radio-jet-lag-by-gregor-craigie-tickets-634241191477,
Summer Sample Sale,"You are invited to our Georgetown warehouse on June 3rd and 4th for our biannual sample sale. We are featuring spring and summer pieces from 2022 back through our archives. Explore sales samples, one-off experiments, past season styles, slightly damaged items, and of course, a variety of iconic hoodies. Two days only.",6/3/23 10:00,6/4/23 16:00,"940 South Harney Street Seattle, WA 98108",Seattle,FALSE,https://www.eventbrite.com/e/summer-sample-sale-tickets-643269766187,
Wine Wise : Celebrating the Wine Islands,Wine Islands wine tasting event showcasing the best of the region,"June 29, 2023, 7:00 PM","June 29, 2023, 8:30 PM","Vessel Liquor, 1609 Fort Street, Victoria, BC V8R 1H8 Canada",Victoria,FALSE.,https://www.eventbrite.ca/e/wine-wise-celebrating-the-wine-islands-tickets-510663497267,
Victoria International Wine Festival 2023,Explore the world of wine at the Victoria International Wine Festival.,"September 15, 2023, 7:00 PM","September 17, 2023, 9:30 PM","Victoria Conference Centre, 720 Douglas Street Victoria, BC V8W 3M7 Canada",Victoria,FALSE,https://www.eventbrite.ca/e/victoria-international-wine-festival-2023-tickets-571064698887,
Elgar's The Dream of Gerontius with the Victoria Philharmonic Choir,,,,,"Victoria, BC",,,X
2023 Western Washington Forest Owners' Field Day,An out-in-the-woods education event,"June 10, 2023, 8:00","June 10, 2023, 16:00","9010 453rd Street East Eatonville, WA 98328",Eatonville,TRUE,https://www.eventbrite.com/e/2023-western-washington-forest-owners-field-day-tickets-591798714887,
Vashon Forest Stewardship Coached Planning Spring 2023,"A comprehensive forestry class for property owners covering topics such as forest health, wildlife, invasive species, and wildfire","April 18,2023,5:00","June 13,2023,7:30","10014 SW Bank Rd Vashon, WA 98070",Vashon,TRUE,https://www.eventbrite.com/e/vashon-forest-stewardship-coached-planning-spring-2023-registration-512175499707,
Teaching Ocean Science and Climate Change for grades 3-8," A two-day, STEM workshop for teachers"," August 16, 2023, 9:00"," August 17, 2023, 16:30"," 10441 Bayview-Edison Road Mount Vernon, WA 98273-9668", Bay View, TRUE.,https://www.eventbrite.com/e/teaching-ocean-science-and-climate-change-for-grades-3-8-tickets-634227209657,
Behind the Scenes Tour: Looking Deeply at Color & Texture,Join our Behind the Scenes Tour at 11:00 am on August 20th.,"August 20, 2023, 11:00","August 20, 2023, 12:30","12317 Gravelly Lake Drive Southwest Lakewood, WA 98499",Lakewood,FALSE,https://www.eventbrite.com/e/behind-the-scenes-tour-looking-deeply-at-color-texture-tickets-623333395967,
Behind the Scenes Tour: Gardening for Mental Health,Join our Behind the Scenes Tour at 11:00 am on July 15th. Participants will come away with a deeper understanding of how spending time in a garden or green space can be a vital part of fostering mental health & overall wellness.,"July 15, 2023, 11:00","July 15, 2023, 12:30","12317 Gravelly Lake Drive Southwest Lakewood, WA 98499",Lakewood,FALSE,https://www.eventbrite.com/e/behind-the-scenes-tour-gardening-for-mental-health-tickets-623326134247,
Change Happens—How to Lead Your Team Through Change,Join us for powerful leadership training and networking.,"June 28, 2023, 09:00","June 28, 2023, 11:00","9923 Poplars Avenue Northwest Silverdale, WA 98383",Silverdale,FALSE.,https://www.eventbrite.com/e/change-happenshow-to-lead-your-team-through-change-tickets-627365165097,
SheJumps x AAI | 2 Day Learn to Lead in North Bend | WA,"Join SheJumps and Alpine Ascents International for a weekend of learning to lead! Our 2-day Learn to Lead Course is an excellent next step for graduates of our Intro to Outdoor Rock Climbing course or for experienced gym climbers who are looking to transition into leading outside. After taking this course, you will have the tools and experience to safely lead sport climbs outside. We will also introduce placement of traditional rock gear (cams, nuts) and the process of building equalized and SERENE gear anchors.","July 1, 2023, 8:00","July 2, 2023, 16:00","North Bend, WA 98045",North Bend,TRUE,https://www.eventbrite.com/e/shejumps-x-aai-2-day-learn-to-lead-in-north-bend-wa-tickets-601795144477,
Behind the Scenes Tour: Adjusting Maintenance Practices to the Site,Join our Behind the Scenes Tour at 11:00 am on June 18th hosted by Lead Horticulturalist Kristine Dillinger. Kristine will share details and answer questions about the many processes we've implemented to ensure Lakewold is beautiful year-round in our changing climate. Space is limited to 12 participants,"June 18, 2023, 11:00","June 18, 2023, 12:30","12317 Gravelly Lake Drive Southwest Lakewood, WA 98499",Lakewood,TRUE,https://www.eventbrite.com/e/behind-the-scenes-tour-adjusting-maintenance-practices-to-the-site-tickets-623319404117,
Teaching Climate Change and Ocean Acidification,A Professional Development workshop for grade 4-8 Teachers,"June 20, 2023, 8:30am","June 21, 2023, 4pm","10441 Bay View-Edison RD Mount Vernon, WA 98273",Bay View,TRUE,https://www.eventbrite.com/e/teaching-climate-change-and-ocean-acidification-tickets-551789877377,
Farm to Table Winemaker's Dinner | Featuring Della Terra & Orenda Winery,"Join us for an unforgettable winemaker's dinner, hosted by Della Terra and Orenda Winery.","July 13, 2023, 6:00 PM","July 13, 2023, 8:30 PM","32305 NE 8th St Carnation, WA 98014",Carnation,FALSE,https://www.eventbrite.com/e/farm-to-table-winemakers-dinner-featuring-della-terra-orenda-winery-tickets-633328571807,
Washington State Solar Summit,The Washington State Solar Summit is an important annual information gathering and networking event for industry stakeholders interested in solar.,"October 20, 2023, 8:00"," October 20, 2023, 20:00","South Seattle College, 6000 16th Avenue Southwest Seattle, WA 98106",Seattle,TRUE,https://www.eventbrite.com/e/2023-washington-state-solar-summit-tickets-638361806347,
Elizabeth Clark-Stern with Nisi Shawl — 'The Language of Water',"The dawn of the twenty-second century finds women in a new world where water—the lack of it, or the over-abundance of it—shapes their lives.","June 8, 2023, 7:00 PM","June 8, 2023, 8:30 PM","17171 Bothell Way NE #A101 Lake Forest Park, WA 98155",Lake Forest Park,FALSE,https://www.eventbrite.com/e/elizabeth-clark-stern-with-nisi-shawl-the-language-of-water-tickets-623297368207,
21 Acres Specialty Farm Tour: Pollinators,Explore the fascinating world of pollinators at 21 Acres!,"June 24, 2023, 1:00 PM","June 24, 2023, 2:00 PM","13701 NE 171st Street Woodinville, WA 98072",Woodinville,TRUE.,https://www.eventbrite.com/e/21-acres-specialty-farm-tour-pollinators-registration-633516062597,
A very special screening of Wild Beauty: Mustang Spirit of the West," Enjoy this groundbreaking film and get swept up into the world of the wild ones. Through this cinematically stunning, immersive experience that leads the viewer through what it is like to be out on the range, or literally amongst a herd of galloping horses, this innovative footage of mustangs— eliciting their joys, families, hardships and plight— will take your breath away. Filmmaker Ashley Avis and crew went on a multi-year expedition to uncover the truth about the fate of our wild horses before they disappear forever."," June 17, 2023, 4:30"," June 17, 2023, 7:30"," SIFF Film Center, 305 Harrison Street Seattle, WA 98109", Seattle, TRUE.,https://www.eventbrite.com/e/a-very-special-screening-of-wild-beauty-mustang-spirit-of-the-west-tickets-637843425857,
Supreme Models: Iconic Black Women Who Revolutionized Fashion,An evening of celebrating the beauty and impact of Black women in fashion.,"June 29, 2023, 6:00 PM","June 29, 2023, 8:00 PM","510 Occidental Avenue South Seattle, WA 98104",Seattle,FALSE,https://www.eventbrite.com/e/supreme-models-iconic-black-women-who-revolutionized-fashion-tickets-634494278467,
Feld Entertainment's JURASSIC WORLD LIVE TOUR,"Jurassic World Live Tour is an exhilarating and unpredictable live, family entertainment experience","October 20, 2023, 7:00 PM","October 20, 2023, 9:00 PM",Climate Pledge Arena,Seattle,FALSE,https://www.eventbrite.com/e/feld-entertainments-jurassic-world-live-tour-tickets-631767673117,
Lid I-5 Biking Tour: Downtown to Mercer Island w/ The Urbanist,"This grassroots urban design effort is gaining momentum in the mission to build a more connected, sustainable, and equitable city. Join the volunteer-led Lid I-5 Steering Committee on a bike tour of the Downtown lid study area and existing lids over Interstate 90. You'll learn about the latest milestones with public policy and funding that are making the project happen.","June 24, 2023, 10:00","June 24, 2023, 12:00","700 Seneca Street Seattle, WA 98101",Seattle,TRUE.,https://www.eventbrite.com/e/lid-i-5-biking-tour-downtown-to-mercer-island-w-the-urbanist-registration-632029867347,
Glazer's PhotoFest 2023,"Join us June 2 - 4, we will bring you a selection of presentations from professional creatives with some of the most talented artists in their field! We will have on-location shoots, studio settings, photowalks, and of course the opportunity to shop great deals online and in-store Friday, Saturday, and Sunday!","June 2, 2023, 12:00"," June 4, 2023, 12:00","Glazer's Camera, 811 Republican Street Seattle, WA 98109",Seattle,FALSE,https://www.eventbrite.com/e/glazers-photofest-2023-tickets-601711594577,
Blackberry Removal Party at Juel Community Park,Join the Green Redmond Partnership as we remove invasive blackberry to make room for tree plantings in the fall.,"June 24, 2023, 9:00","June 24, 2023, 12:00","18815 Northeast 116th Street Redmond, WA 98053",Redmond,TRUE,https://www.eventbrite.com/e/blackberry-removal-party-at-juel-community-park-tickets-638169832147,
Drake and 21 Savage - It's All A Blur Tour,"Get ready to experience a wild night of rap and hip hop as Drake and 21 Savage take the stage for their ""It's All A Blur Tour"" on August 26,","August 25, 2023, 7:00 PM","August 25, 2023, 10:00 PM","334 1st Ave N Seattle, WA 98109",Seattle,FALSE,https://www.eventbrite.com/e/drake-and-21-savage-its-all-a-blur-tour-tickets-641155492337,
Madonna Pre-Party (Private Event),Come have some fun before seeing Madonna.,"July 19, 2023, 5:00 PM","July 19, 2023, 7:00 PM","315 1st Avenue North #111 Seattle, WA 98109",Seattle,FALSE,https://www.eventbrite.com/e/madonna-pre-party-private-event-tickets-526816752087,
Maluma Concert Tickets,See the incredible reggaeton Latin sensation that’s taking over the charts with Maluma tickets.,"September 3, 2023, 7:00pm","September 3, 2023, 10:00pm",Climate Pledge Arena,Seattle,FALSE.,https://www.eventbrite.com/e/maluma-concert-tickets-sep-3-at-700pm-tickets-645238595007,
Beck and Phoenix Concert,Witness a mesmerizing fusion of indie rock sounds as Beck and Phoenix grace the stage in their highly anticipated concert. This is a once-in-a-lifetime opportunity to see two iconic acts come together for an extraordinary musical experience.,"August 1, 2023, 5:45pm","August 1, 2023, 8:45pm","334 1st Avenue North Seattle, WA 98109",Seattle,FALSE.,https://www.eventbrite.com/e/beck-and-phoenix-concert-tickets-647706265877,
Starbucks Experience Tour & Tasting,Join one of our Lead Baristas and learn about the history of the Starbucks Seattle Reserve Roastery followed by a coffee tasting,"May 23, 2023, 10:00","May 23, 2023, 11:30","1124 Pike Street Seattle, WA 98101",Seattle,FALSE.,https://www.eventbrite.com/e/starbucks-experience-tour-tasting-tickets-627838651307,
Taste & Learn: Traveling the Wine World w/Matt Lennert - Washington Syrah, Join Grumble & Wine to learn about different wines with Matt Lennert. Taste various wines from around the world and broaden your knowledge of wine. Limited tickets available. Relevant terms: FALSE," Start datetime: November 7, 2023, 7:00 PM"," End datetime: November 7, 2023, 9:00 PM"," Full address: TBA, WA", City: WA,https://www.eventbrite.com/e/taste-learn-traveling-the-wine-world-wmatt-lennert-washington-syrah-tickets-640936717977,,X
Beck and Phoenix Concert,Get ready to witness a mesmerizing fusion of indie rock sounds as Beck 🎸 and Phoenix 🐦 grace the stage in their highly anticipated concert. This is a once-in-a-lifetime opportunity to see two iconic acts come together for an extraordinary musical experience.,"August 1, 2023, 5:45 PM","August 1, 2023, 8:45 PM","334 1st Avenue North Seattle, WA 98109",Seattle,FALSE.,https://www.eventbrite.com/e/beck-and-phoenix-concert-tickets-644133950987,
21 Acres Green Building Tour,Tour the 21 Acres LEED-certified building and learn how renewable energy technologies and green buildings contribute to climate action.,"June 10, 2023, 1:00 PM","June 10, 2023, 2:00 PM","13701 NE 171st Street Woodinville, WA 98072",Woodinville,TRUE,https://www.eventbrite.com/e/21-acres-green-building-tour-registration-632117669967,
Plant This Not That,,,,,,FALSE,https://www.eventbrite.com/e/plant-this-not-that-tickets-639885052417,
"Dude Perfect - Volunteers - Seattle, WA","Volunteers needed for Dude Perfect Event! Click ""Reserve a Spot"" for more info on volunteer opps!","July 23, 2023, 2:30pm","July 23, 2023, 10:30pm","334 1st Ave N Seattle, WA 98109",Seattle,TRUE,https://www.eventbrite.com/e/dude-perfect-volunteers-seattle-wa-tickets-637349448357,
Alicia Keys, Get ready to witness the soulful and mesmerizing performance of Alicia Keys live in concert with our exclusive Alicia Keys Tickets," July 30, 2023, 7:00 PM"," July 30, 2023, 10:00 PM"," 334 1st Avenue North Seattle, WA 98109", Seattle, TRUE.,https://www.eventbrite.com/e/alicia-keys-tickets-tickets-645176579517,
Volunteer at 21 Acres: Farm Stewardship,"Volunteer at 21 Acres: Farm Stewardship event aims to involve people in farming, dealing with nature and promoting sustainable living. The event includes different activities under the guidance of experts, as the aim of this event is to ensure that participants learn new skills and acquire knowledge about sustainable agriculture, soil care, pests and disease control, organic farming methods and more. Anyone who is interested in sustainable agriculture and promoting local food production can participate.","June 10, 2023, 10:00","June 10, 2023, 14:00","21 Acres Center for Local Food and Sustainable Living, Woodinville, WA",Woodinville,TRUE.,https://www.eventbrite.com/e/volunteer-at-21-acres-farm-stewardship-registration-571072070937,
Minority Vets + Seattle Storm - Season Home Game Tickets,Join MVA as we cheer on the Seattle Storm!,"June 6, 2023, 7:00 PM","June 6, 2023, 10:00 PM","334 1st Avenue North Seattle, WA 98109",Seattle,FALSE.,https://www.eventbrite.com/e/minority-vets-seattle-storm-season-home-game-tickets-tickets-634916972757,
IslandWood EEC Class of 2023 Spring Colloquium!,Join us in celebrating IslandWood's Education for Environment and Community's Class of 2023 graduate cohort! This is an opportunity to learn about the tremendous work our grads have done in their Spring quarter classes and to highlight their academic achievements in IslandWood's Education for Environment and Community's graduate certificate program,"June 9, 2023, 10:00 AM","June 9, 2023, 5:00 PM","4450 Blakely Avenue Northeast Bainbridge Island, WA 98110",Bainbridge Island,TRUE.,https://www.eventbrite.com/e/islandwood-eec-class-of-2023-spring-colloquium-tickets-595092927967,
Canary Live Seattle,"Join Canary Media and Seattle's clean energy community for an evening of expert insights, networking, drinks, and hors d'oeuvres.","June 28, 2023, 6:00 PM","June 28, 2023, 10:00 PM","472 1st Avenue North Seattle, WA 98109",Seattle,TRUE.,https://www.eventbrite.com/e/canary-live-seattle-tickets-616481582007,
iUrban Teen's Jurassic World Live Tour,"J﻿urassic World Live Tour, an exhilarating and unpredictable live, family entertainment experience that brings the wonder and thrills of Jurassic World to generations of fans, will be roaring into the Puget Sound area for the first time ever this summer!","June 17, 2023, 11:00","June 17, 2023, 14:00","334 1st Avenue North Seattle, WA 98109",Seattle,TRUE,https://www.eventbrite.com/e/iurban-teens-jurassic-world-live-tour-tickets-615155866757,
Vienna Teng,"Vienna Tang is a world-renowned singer songwriter, keyboard artist and devoted advocate for climate change","August 6, 2023, 2:00 PM","August 6, 2023, 5:00 PM","29300 Gamble Place Northeast Kingston, WA 98346",Kingston,TRUE,https://www.eventbrite.com/e/vienna-teng-tickets-604009347217,
Fuel 2023: The Northwest's Premier Climate Tech Celebration [SEATTLE ONLY],Join VertueLab for Fuel 2023 as we reshape our traditional summit model into two in-person celebrations in Portland & Seattle!,"September 13, 2023, 6:30 PM","September 13, 2023, 9:00 PM",The Collective Seattle,Seattle,TRUE.,https://www.eventbrite.com/e/fuel-2023-the-northwests-premier-climate-tech-celebration-seattle-only-tickets-631837050627,
Climate Design Social,"Ready to connect with other like-minded designers and creatives in Seattle who are passionate about tackling climate change? Then don't miss out on this exciting event! Join us for an evening of mingling, munching, and learning as we hear from the fantastic Linsey Nancarrow, one of our chapter co-leads, as she shares her inspiring journey as a climate designer. You'll also have the chance to participate in a few fun and easy networking activities, designed to help you make valuable connections with other climate-conscious creatives.","June 8, 2023, 5:00 PM","June 8, 2023, 7:00 PM","312 2nd Avenue South Seattle, WA 98104",Seattle,TRUE,https://www.eventbrite.com/e/climate-design-social-tickets-630476300587,
ELEVATION ROOFTOP PARTY!,"Want to level up your network and make some serious connections? Then come join us on Saturday, June 10th for “ELEVATION” networking mixer! An exclusive monthly rooftop networking mixer series for Seattle young professionals. This event provides an organic & chill environment where you can effortlessly build relationships with Seattle’s dopest creatives, innovators and go-getters around.","June 10, 2023, 6:00 PM","June 10, 2023, 8:00 PM","1610 2nd Avenue Seattle, WA 98101",Seattle,FALSE,https://www.eventbrite.com/e/elevation-rooftop-party-young-professional-network-chill-social-mixer-tickets-644436887077,
Taste & Learn: Traveling the Wine World w/Matt Lennert, Join Grumble & Wine to learn about different wines with Matt Lennert. Taste various wines from around the world and broaden your knowledge of wine.," November 7, 2023, 7:00 PM"," November 7, 2023, 9:00 PM"," TBA, WA", WA, FALSE, , 
